"time","segment_id","speed","street","direction","from_street","to_street","length","street_heading","comments","bus_count","message_count","hour","day_of_week","month","record_id","start_latitude","start_longitude","end_latitude","end_longitude","start_location","end_location"
"2025-03-23T09:01:18.000","1218","24","Halsted","NB","Cermak","16th","0.5","S",,"1","1","9","1","3","1218-202503231401","41.852646","-87.646305","41.859912","-87.646517","POINT (-87.646305 41.852646)","POINT (-87.646517 41.859912)"
"2025-03-23T09:01:18.000","1132","-1","Cicero","SB","31st","Pershing","1.00806841738","S","Outside City Limits","0","0","9","1","3","1132-202503231401","41.8367473974","-87.7439318058","41.8221415535","-87.7437722696","POINT (-87.7439318058 41.8367473974)","POINT (-87.7437722696 41.8221415535)"
"2025-03-23T09:01:18.000","1212","25","Halsted","NB","47th","43rd","0.5","S",,"1","5","9","1","3","1212-202503231401","41.808864","-87.645349","41.816184","-87.645535","POINT (-87.645349 41.808864)","POINT (-87.645535 41.816184)"
"2025-03-23T09:01:18.000","1216","16","Halsted","NB","31st","Archer","0.63","S",,"1","4","9","1","3","1216-202503231401","41.838046","-87.646086","41.847196","-87.646297","POINT (-87.646086 41.838046)","POINT (-87.646297 41.847196)"
"2025-03-23T09:01:18.000","1220","-1","Halsted","NB","Roosevelt","Harrison","0.5","S",,"0","0","9","1","3","1220-202503231401","41.867152","-87.646729","41.874338","-87.646935","POINT (-87.646729 41.867152)","POINT (-87.646935 41.874338)"
"2025-03-23T09:01:18.000","1303","-1","Balbo","WB","LakeShore Dr","Michigan","0.52","E",,"0","0","9","1","3","1303-202503231401","41.873356","-87.617312","41.873192","-87.627565","POINT (-87.617312 41.873356)","POINT (-87.627565 41.873192)"
"2025-03-23T09:01:18.000","1215","-1","Halsted","NB","35th","31st","0.5","S",,"0","0","9","1","3","1215-202503231401","41.83075","-87.645915","41.838046","-87.646086","POINT (-87.645915 41.83075)","POINT (-87.646086 41.838046)"
"2025-03-23T09:01:18.000","1309","23","Harrison","WB","Canal","Halsted","0.4","W",,"1","1","9","1","3","1309-202503231401","41.874538","-87.639487","41.874438","-87.647125","POINT (-87.639487 41.874538)","POINT (-87.647125 41.874438)"
"2025-03-23T09:01:18.000","1306","-1","Clark","NB","Roosevelt","Harrison","0.5","S",,"0","0","9","1","3","1306-202503231401","41.867374","-87.630336","41.874521","-87.630574","POINT (-87.630336 41.867374)","POINT (-87.630574 41.874521)"
"2025-03-23T09:01:18.000","1211","33","Halsted","NB","51st","47th","0.5","S",,"1","7","9","1","3","1211-202503231401","41.801585","-87.645156","41.808864","-87.645349","POINT (-87.645156 41.801585)","POINT (-87.645349 41.808864)"
"2025-03-23T09:01:18.000","1307","27","Clark","SB","Harrison","Roosevelt","0.5","S",,"2","8","9","1","3","1307-202503231401","41.874521","-87.630774","41.867374","-87.630536","POINT (-87.630774 41.874521)","POINT (-87.630536 41.867374)"
