"intersection","camera_id","address","violation_date","violations","x_coordinate","y_coordinate","latitude","longitude","location"
"111TH AND HALSTED","2422","11100 S HALSTED ST","2024-11-28T00:00:00.000","19","1172923.657689312","1831209.044179248","41.6922631234","-87.6425226876","
,  
(41.692263123425136, -87.6425226876268)"
"119TH AND HALSTED","2404","800 W 119TH STREET","2024-11-28T00:00:00.000","1","1173111.1740881582","1825985.0010144047","41.6779233891","-87.6419896458","
,  
(41.677923389134385, -87.64198964584013)"
"119TH AND HALSTED","2402","11900 S HALSTED","2024-11-28T00:00:00.000","4","1173094.7746161914","1825911.054609338","41.6777208292","-87.642051845","
,  
(41.67772082924762, -87.64205184498218)"
"31ST ST AND MARTIN LUTHER KING DRIVE","2121","3100 S DR MARTIN L KING","2024-11-28T00:00:00.000","10",,,,,
"35TH AND WESTERN","2092","3500 S WESTERN","2024-11-28T00:00:00.000","7","1160894.9498571008","1881376.8511128952","41.8301872553","-87.6851779251","
,  
(41.83018725526863, -87.68517792510231)"
"35TH AND WESTERN","2091","3500 S WESTERN","2024-11-28T00:00:00.000","6","1160894.9498571008","1881376.8511128952","41.8301872553","-87.6851779251","
,  
(41.83018725526863, -87.68517792510231)"
"4700 WESTERN","2141","4700 S WESTERN AVENUE","2024-11-28T00:00:00.000","2","1161120.4388797027","1873431.0664747257","41.8083784079","-87.6845707169","
,  
(41.808378407946726, -87.68457071689552)"
"4700 WESTERN","2142","4700 S WESTERN AVENUE","2024-11-28T00:00:00.000","3","1161120.4388797027","1873431.0664747257","41.8083784079","-87.6845707169","
,  
(41.808378407946726, -87.68457071689552)"
"55TH AND KEDZIE","2163","3200 W 55TH STREET","2024-11-28T00:00:00.000","2","1155966.9569931827","1868015.5937641517","41.7936228033","-87.7036181406","
,  
(41.79362280329978, -87.70361814062049)"
"55TH AND KEDZIE","2162","5500 S KEDZIE AVENUE","2024-11-28T00:00:00.000","2","1155945.8547052378","1867941.6213741922","41.7934202368","-87.7036975085","
,  
(41.793420236755864, -87.70369750845424)"
"55TH and PULASKI","2244","4000 W 55TH ST","2024-11-28T00:00:00.000","3","1150621.676903861","1867864.2748653945","41.7933133336","-87.7232230381","
,  
(41.79331333358753, -87.72322303812588)"
"55TH and PULASKI","2242","5500 S PULASKI","2024-11-28T00:00:00.000","6","1150600.0726494389","1867806.4451271796","41.7931550607","-87.7233037646","
,  
(41.793155060731024, -87.72330376464247)"
"55TH AND WESTERN","2212","5500 S WESTERN AVE","2024-11-28T00:00:00.000","5","1161269.5213352623","1867963.1116012512","41.7933705543","-87.6841753768","
,  
(41.79337055433029, -87.6841753767592)"
"63RD AND STATE","2712","6300 S STATE ST","2024-11-28T00:00:00.000","2","1177303.8018950843","1863220.2167559231","41.7800082774","-87.6255225119","
,  
(41.78000827740796, -87.6255225119157)"
"63RD AND STATE","2714","1 E 63RD ST","2024-11-28T00:00:00.000","16","1177367.518733101","1863199.1776855902","41.7799491046","-87.6252895533","
,  
(41.779949104569106, -87.62528955333775)"
"71ST AND ASHLAND","2391","7100 S ASHLAND","2024-11-28T00:00:00.000","3","1166868.379865725","1857616.1680872552","41.7648593824","-87.6639401763","
,  
(41.764859382425385, -87.66394017630476)"
"71ST AND ASHLAND","2394","1600 W 71ST","2024-11-28T00:00:00.000","2","1166890.0123331489","1857674.2502247","41.7650183056","-87.6638592301","
,  
(41.76501830555763, -87.66385923012646)"
"75TH AND STATE","2621","7500 S STATE STREET","2024-11-28T00:00:00.000","14","1177538.7630406125","1855235.5513455186","41.7580921764","-87.6249022282","
,  
(41.75809217638291, -87.6249022282473)"
"75TH AND STATE","2624","1 E 75TH STREET","2024-11-28T00:00:00.000","9","1177601.7264640396","1855229.4866041814","41.758074111","-87.6246716584","
,  
(41.75807411097799, -87.62467165835182)"
"79TH AND HALSTED","2543","800 W 79TH STREET","2024-11-28T00:00:00.000","7","1172320.1057194113","1852517.9814434","41.7507511575","-87.644107793","
,  
(41.75075115747316, -87.64410779300933)"
"79TH AND HALSTED","2541","7900 S HALSTED STREET","2024-11-28T00:00:00.000","2","1172298.7074008468","1852444.344822186","41.7505495594","-87.6441883678","
,  
(41.750549559438944, -87.64418836784098)"
"79TH AND KEDZIE","2442","7900 S KEDZIE AVE","2024-11-28T00:00:00.000","1","1156378.3966776796","1852021.3752815765","41.7497239717","-87.7025395717","
,  
(41.749723971726056, -87.70253957167394)"
"87TH AND VINCENNES","2413","848 W 87TH STREET","2024-11-28T00:00:00.000","10","1172002.5310067595","1847197.3261683672","41.7361575463","-87.6454274005","
,  
(41.73615754630335, -87.64542740049411)"
"87TH AND VINCENNES","2412","8700 S VINCENNES","2024-11-28T00:00:00.000","4","1172026.3289895349","1847142.4966437758","41.7360065646","-87.645341819","
,  
(41.73600656458518, -87.64534181897955)"
"99TH AND HALSTED","2433","800 W 99TH ST","2024-11-28T00:00:00.000","27","1172710.6425656837","1839246.3306021434","41.714323337","-87.6430667142","
,  
(41.71432333701137, -87.64306671421937)"
"99TH AND HALSTED","2431","9900 S HALSTED ST","2024-11-28T00:00:00.000","16","1172689.7542003177","1839171.6521972162","41.7141188681","-87.6431454082","
,  
(41.714118868089905, -87.64314540818165)"
"ADDISON AND HARLEM","1591","3600 N HARLEM AVENUE","2024-11-28T00:00:00.000","5","1127394.594070737","1923110.532422811","41.9453384125","-87.8071547691","
,  
(41.94533841246591, -87.80715476912044)"
"ARCHER AND CICERO","2081","5200 S CICERO AVE","2024-11-28T00:00:00.000","11","1145195.931989777","1869737.7083066234","41.7985582782","-87.7430718662","
,  
(41.798558278193305, -87.74307186616427)"
"ASHLAND AND 87TH","2454","1600 W 87TH ST","2024-11-28T00:00:00.000","5","1167171.9412974361","1847064.8553451514","41.7358986171","-87.6631287809","
,  
(41.735898617066006, -87.66312878090133)"
"ASHLAND AND 87TH","2452","8700 S ASHLAND AVE","2024-11-28T00:00:00.000","2","1167150.470087748","1846991.212339794","41.7356969886","-87.6632095445","
,  
(41.73569698863625, -87.66320954445679)"
"ASHLAND AND 95TH","2472","9500 S ASHLAND AVENUE","2024-11-28T00:00:00.000","4","1167295.8301287107","1841695.1212179165","41.7211606121","-87.6628281394","
,  
(41.72116061205213, -87.66282813939165)"
"ASHLAND AND 95TH","2473","1600 W 95TH STREET","2024-11-28T00:00:00.000","6","1167323.7533941956","1841755.0292213822","41.721324412","-87.6627241527","
,  
(41.721324411975246, -87.66272415265087)"
"ASHLAND AND DIVISION","1791","1200 N ASHLAND AVENUE","2024-11-28T00:00:00.000","4","1165466.9970467184","1908083.7670159743","41.9033774676","-87.6676431423","
,  
(41.903377467566784, -87.66764314227497)"
"ASHLAND AND DIVISION","1793","1600 W DIVISION STREET","2024-11-28T00:00:00.000","1","1165489.6842004424","1908112.3129639095","41.9034553165","-87.667558994","
,  
(41.903455316483814, -87.66755899396976)"
"ASHLAND AND FULLERTON","1651","2400 N ASHLAND AVENUE","2024-11-28T00:00:00.000","1","1165228.0733428376","1916032.319169157","41.9251938898","-87.6682943634","
,  
(41.92519388981048, -87.66829436339881)"
"ASHLAND AND FULLERTON","1652","2400 N ASHLAND AVENUE","2024-11-28T00:00:00.000","7","1165228.0733428376","1916032.319169157","41.9251938898","-87.6682943634","
,  
(41.92519388981048, -87.66829436339881)"
"ASHLAND AND IRVING PARK","1153","1600 W IRVING PARK ROA","2024-11-28T00:00:00.000","3",,,,,
"ASHLAND AND IRVING PARK","1151","4000 N ASHLAND AVENUE","2024-11-28T00:00:00.000","2","1164899.4638025814","1926665.6611189249","41.9543793262","-87.6691991198","
,  
(41.954379326212695, -87.66919911980419)"
"ASHLAND AND LAWRENCE","1142","4800 N ASHLAND AVENUE","2024-11-28T00:00:00.000","2","1164751.6867851454","1932001.2066263915","41.9690234296","-87.6695904335","
,  
(41.969023429614026, -87.66959043354217)"
"ASHLAND AND MADISON","1911","0 N ASHLAND AVE","2024-11-28T00:00:00.000","2","1165717.2745430297","1900112.6239869087","41.8814987292","-87.6669512219","
,  
(41.88149872915566, -87.66695122185307)"
